room_type,month,neighbourhood,count,monthly_average
Hotel Room,"January, 2020",Annex,13,
Hotel Room,"January, 2020",Church-Yonge Corridor,2,
Hotel Room,"January, 2020",Dovercourt-Wallace Emerson-Junction,1,
Hotel Room,"January, 2020",Kensington-Chinatown,1,
Hotel Room,"January, 2020",Moss Park,9,
Hotel Room,"January, 2020",Niagara,1,
Hotel Room,"January, 2020",Roncesvalles,1,
Hotel Room,"January, 2020",South Parkdale,13,
Hotel Room,"January, 2020",Trinity-Bellwoods,2,
Hotel Room,"January, 2020",University,11,
Hotel Room,"January, 2020",Waterfront Communities-The Island,18,
Hotel Room,"January, 2020",Willowdale East,4,
Private Room,"January, 2020",Agincourt North,42,
Private Room,"January, 2020",Agincourt South-Malvern West,69,202.1597052
Private Room,"January, 2020",Alderwood,11,74.69325153
Private Room,"January, 2020",Annex,163,54.3902439
Private Room,"January, 2020",Banbury-Don Mills,32,
Private Room,"January, 2020",Bathurst Manor,54,
Private Room,"January, 2020",Bay Street Corridor,143,
Private Room,"January, 2020",Bayview Village,53,
Private Room,"January, 2020",Bayview Woods-Steeles,55,
Private Room,"January, 2020",Bedford Park-Nortown,10,
Private Room,"January, 2020",Beechborough-Greenbrook,6,
Private Room,"January, 2020",Bendale,22,
Private Room,"January, 2020",Birchcliffe-Cliffside,43,90.89655172
Private Room,"January, 2020",Black Creek,18,
Private Room,"January, 2020",Blake-Jones,26,99.49350649
Private Room,"January, 2020",Briar Hill-Belgravia,41,99.49350649
Private Room,"January, 2020",Bridle Path-Sunnybrook-York Mills,11,99.49350649
Private Room,"January, 2020",Broadview North,15,68.41401274
Private Room,"January, 2020",Brookhaven-Amesbury,24,
Private Room,"January, 2020",Cabbagetown-South St.James Town,161,99.49350649
Private Room,"January, 2020",Caledonia-Fairbank,23,
Private Room,"January, 2020",Casa Loma,27,
Private Room,"January, 2020",Centennial Scarborough,9,
Private Room,"January, 2020",Church-Yonge Corridor,178,54.3902439
Private Room,"January, 2020",Clairlea-Birchmount,59,
Private Room,"January, 2020",Clanton Park,26,
Private Room,"January, 2020",Cliffcrest,19,
Private Room,"January, 2020",Corso Italia-Davenport,70,
Private Room,"January, 2020",Danforth,48,
Private Room,"January, 2020",Danforth East York,32,
Private Room,"January, 2020",Don Valley Village,86,
Private Room,"January, 2020",Dorset Park,42,84.30952381
Private Room,"January, 2020",Dovercourt-Wallace Emerson-Junction,228,
Private Room,"January, 2020",Downsview-Roding-CFB,79,
Private Room,"January, 2020",Dufferin Grove,56,
Private Room,"January, 2020",East End-Danforth,57,
Private Room,"January, 2020",Edenbridge-Humber Valley,12,202.1597052
Private Room,"January, 2020",Eglinton East,29,
Private Room,"January, 2020",Elms-Old Rexdale,11,
Private Room,"January, 2020",Englemount-Lawrence,20,63.83544304
Private Room,"January, 2020",Eringate-Centennial-West Deane,23,
Private Room,"January, 2020",Etobicoke West Mall,15,
Private Room,"January, 2020",Flemingdon Park,22,
Private Room,"January, 2020",Forest Hill North,20,
Private Room,"January, 2020",Forest Hill South,6,
Private Room,"January, 2020",Glenfield-Jane Heights,33,
Private Room,"January, 2020",Greenwood-Coxwell,53,
Private Room,"January, 2020",Guildwood,15,68.81818182
Private Room,"January, 2020",Henry Farm,28,
Private Room,"January, 2020",High Park North,48,
Private Room,"January, 2020",High Park-Swansea,57,
Private Room,"January, 2020",Highland Creek,30,
Private Room,"January, 2020",Hillcrest Village,56,185.2191011
Private Room,"January, 2020",Humber Heights-Westmount,8,
Private Room,"January, 2020",Humber Summit,7,
Private Room,"January, 2020",Humbermede,17,97.1048951
Private Room,"January, 2020",Humewood-Cedarvale,30,
Private Room,"January, 2020",Ionview,26,
Private Room,"January, 2020",Islington-City Centre West,118,
Private Room,"January, 2020",Junction Area,50,
Private Room,"January, 2020",Keelesdale-Eglinton West,26,48.30434783
Private Room,"January, 2020",Kennedy Park,18,87.22839506
Private Room,"January, 2020",Kensington-Chinatown,316,87.22839506
Private Room,"January, 2020",Kingsview Village-The Westway,10,87.22839506
Private Room,"January, 2020",Kingsway South,5,
Private Room,"January, 2020",L'Amoreaux,74,
Private Room,"January, 2020",Lambton Baby Point,18,61.8
Private Room,"January, 2020",Lansing-Westgate,60,87.22839506
Private Room,"January, 2020",Lawrence Park North,18,
Private Room,"January, 2020",Lawrence Park South,22,
Private Room,"January, 2020",Leaside-Bennington,16,185.2191011
Private Room,"January, 2020",Little Portugal,143,
Private Room,"January, 2020",Long Branch,22,87.22839506
Private Room,"January, 2020",Malvern,69,236.4303797
Private Room,"January, 2020",Maple Leaf,11,
Private Room,"January, 2020",Markland Wood,5,
Private Room,"January, 2020",Milliken,70,74.69325153
Private Room,"January, 2020",Mimico (includes Humber Bay Shores),69,60.58928571
Private Room,"January, 2020",Morningside,36,
Private Room,"January, 2020",Moss Park,162,
Private Room,"January, 2020",Mount Dennis,24,60.58928571
Private Room,"January, 2020",Mount Olive-Silverstone-Jamestown,15,61.5
Private Room,"January, 2020",Mount Pleasant East,34,60.58928571
Private Room,"January, 2020",Mount Pleasant West,83,
Private Room,"January, 2020",New Toronto,28,
Private Room,"January, 2020",Newtonbrook East,158,
Private Room,"January, 2020",Newtonbrook West,90,
Private Room,"January, 2020",Niagara,154,
Private Room,"January, 2020",North Riverdale,16,60.74832215
Private Room,"January, 2020",North St.James Town,86,
Private Room,"January, 2020",O'Connor-Parkview,25,
Private Room,"January, 2020",Oakridge,33,
Private Room,"January, 2020",Oakwood Village,68,
Private Room,"January, 2020",Old East York,27,
Private Room,"January, 2020",Palmerston-Little Italy,157,
Private Room,"January, 2020",Parkwoods-Donalda,74,71.10465116
Private Room,"January, 2020",Pelmo Park-Humberlea,25,
Private Room,"January, 2020",Playter Estates-Danforth,17,85.47727273
Private Room,"January, 2020",Pleasant View,76,
Private Room,"January, 2020",Princess-Rosethorn,16,
Private Room,"January, 2020",Regent Park,44,90.89655172
Private Room,"January, 2020",Rexdale-Kipling,35,65.95454545
Private Room,"January, 2020",Rockcliffe-Smythe,26,
Private Room,"January, 2020",Roncesvalles,68,
Private Room,"January, 2020",Rosedale-Moore Park,29,
Private Room,"January, 2020",Rouge,28,
Private Room,"January, 2020",Runnymede-Bloor West Village,27,
Private Room,"January, 2020",Rustic,18,74.69325153
Private Room,"January, 2020",Scarborough Village,16,
Private Room,"January, 2020",South Parkdale,99,
Private Room,"January, 2020",South Riverdale,125,
Private Room,"January, 2020",St.Andrew-Windfields,35,236.4303797
Private Room,"January, 2020",Steeles,74,
Private Room,"January, 2020",Stonegate-Queensway,33,185.2191011
Private Room,"January, 2020",Tam O'Shanter-Sullivan,79,
Private Room,"January, 2020",Taylor-Massey,29,62.02439024
Private Room,"January, 2020",The Beaches,43,
Private Room,"January, 2020",Thistletown-Beaumond Heights,7,
Private Room,"January, 2020",Thorncliffe Park,17,56.20833333
Private Room,"January, 2020",Trinity-Bellwoods,178,
Private Room,"January, 2020",University,117,
Private Room,"January, 2020",Victoria Village,32,
Private Room,"January, 2020",Waterfront Communities-The Island,407,62.75
Private Room,"January, 2020",West Hill,37,
Private Room,"January, 2020",West Humber-Clairville,75,
Private Room,"January, 2020",Westminster-Branson,33,87.22839506
Private Room,"January, 2020",Weston,31,
Private Room,"January, 2020",Weston-Pellam Park,41,
Private Room,"January, 2020",Wexford/Maryvale,66,
Private Room,"January, 2020",Willowdale East,298,
Private Room,"January, 2020",Willowdale West,77,
Private Room,"January, 2020",Willowridge-Martingrove-Richview,42,
Private Room,"January, 2020",Woburn,28,
Private Room,"January, 2020",Woodbine Corridor,41,
Private Room,"January, 2020",Woodbine-Lumsden,26,
Private Room,"January, 2020",Wychwood,52,76.94382022
Private Room,"January, 2020",Yonge-Eglinton,42,76.94382022
Private Room,"January, 2020",Yonge-St.Clair,25,
Private Room,"January, 2020",York University Heights,182,87.22839506
Private Room,"January, 2020",Yorkdale-Glen Park,49,87.22839506
Shared Room,"January, 2020",Agincourt North,2,
Shared Room,"January, 2020",Agincourt South-Malvern West,1,
Shared Room,"January, 2020",Annex,6,
Shared Room,"January, 2020",Banbury-Don Mills,1,
Shared Room,"January, 2020",Bathurst Manor,1,
Shared Room,"January, 2020",Bay Street Corridor,13,
Shared Room,"January, 2020",Bayview Village,3,
Shared Room,"January, 2020",Bayview Woods-Steeles,1,
Shared Room,"January, 2020",Bedford Park-Nortown,16,
Shared Room,"January, 2020",Bendale,3,
Shared Room,"January, 2020",Black Creek,1,
Shared Room,"January, 2020",Blake-Jones,1,
Shared Room,"January, 2020",Briar Hill-Belgravia,5,
Shared Room,"January, 2020",Broadview North,7,
Shared Room,"January, 2020",Cabbagetown-South St.James Town,7,
Shared Room,"January, 2020",Caledonia-Fairbank,1,
Shared Room,"January, 2020",Casa Loma,2,
Shared Room,"January, 2020",Church-Yonge Corridor,9,
Shared Room,"January, 2020",Clairlea-Birchmount,2,
Shared Room,"January, 2020",Danforth,1,
Shared Room,"January, 2020",Don Valley Village,4,
Shared Room,"January, 2020",Dorset Park,4,
Shared Room,"January, 2020",Dovercourt-Wallace Emerson-Junction,4,
Shared Room,"January, 2020",East End-Danforth,2,
Shared Room,"January, 2020",Etobicoke West Mall,1,
Shared Room,"January, 2020",Flemingdon Park,1,
Shared Room,"January, 2020",Forest Hill North,1,
Shared Room,"January, 2020",Glenfield-Jane Heights,2,
Shared Room,"January, 2020",High Park North,4,
Shared Room,"January, 2020",High Park-Swansea,3,
Shared Room,"January, 2020",Hillcrest Village,1,
Shared Room,"January, 2020",Ionview,1,
Shared Room,"January, 2020",Islington-City Centre West,10,
Shared Room,"January, 2020",Junction Area,2,
Shared Room,"January, 2020",Keelesdale-Eglinton West,1,
Shared Room,"January, 2020",Kennedy Park,2,
Shared Room,"January, 2020",Kensington-Chinatown,8,
Shared Room,"January, 2020",L'Amoreaux,1,
Shared Room,"January, 2020",Lansing-Westgate,2,
Shared Room,"January, 2020",Lawrence Park North,7,
Shared Room,"January, 2020",Leaside-Bennington,14,
Shared Room,"January, 2020",Malvern,37,
Shared Room,"January, 2020",Mimico (includes Humber Bay Shores),3,
Shared Room,"January, 2020",Morningside,1,
Shared Room,"January, 2020",Moss Park,10,
Shared Room,"January, 2020",Mount Dennis,1,
Shared Room,"January, 2020",Mount Pleasant East,2,
Shared Room,"January, 2020",Mount Pleasant West,16,
Shared Room,"January, 2020",Newtonbrook East,2,
Shared Room,"January, 2020",Newtonbrook West,11,
Shared Room,"January, 2020",Niagara,9,
Shared Room,"January, 2020",North St.James Town,6,
Shared Room,"January, 2020",Oakridge,2,
Shared Room,"January, 2020",Oakwood Village,10,
Shared Room,"January, 2020",Old East York,1,
Shared Room,"January, 2020",Palmerston-Little Italy,2,
Shared Room,"January, 2020",Parkwoods-Donalda,3,
Shared Room,"January, 2020",Pleasant View,1,
Shared Room,"January, 2020",Regent Park,9,
Shared Room,"January, 2020",Rexdale-Kipling,7,
Shared Room,"January, 2020",Rockcliffe-Smythe,1,
Shared Room,"January, 2020",Roncesvalles,2,
Shared Room,"January, 2020",Rosedale-Moore Park,1,
Shared Room,"January, 2020",South Parkdale,2,
Shared Room,"January, 2020",South Riverdale,7,
Shared Room,"January, 2020",St.Andrew-Windfields,22,
Shared Room,"January, 2020",Stonegate-Queensway,5,
Shared Room,"January, 2020",Tam O'Shanter-Sullivan,1,
Shared Room,"January, 2020",Taylor-Massey,6,
Shared Room,"January, 2020",Thorncliffe Park,2,
Shared Room,"January, 2020",Trinity-Bellwoods,2,
Shared Room,"January, 2020",University,2,
Shared Room,"January, 2020",Waterfront Communities-The Island,28,
Shared Room,"January, 2020",West Hill,1,
Shared Room,"January, 2020",West Humber-Clairville,2,
Shared Room,"January, 2020",Weston-Pellam Park,9,
Shared Room,"January, 2020",Willowdale East,17,
Shared Room,"January, 2020",Willowridge-Martingrove-Richview,1,
Shared Room,"January, 2020",Woodbine Corridor,2,
Shared Room,"January, 2020",Wychwood,3,48
Shared Room,"January, 2020",Yonge-St.Clair,4,
Shared Room,"January, 2020",York University Heights,2,
Shared Room,"January, 2020",Yorkdale-Glen Park,1,
Entire Home,"January, 2020",Agincourt North,6,180.3961219
Entire Home,"January, 2020",Agincourt South-Malvern West,29,
Entire Home,"January, 2020",Alderwood,27,
Entire Home,"January, 2020",Annex,697,
Entire Home,"January, 2020",Banbury-Don Mills,33,227.5577608
Entire Home,"January, 2020",Bathurst Manor,33,150.2393162
Entire Home,"January, 2020",Bay Street Corridor,546,227.5577608
Entire Home,"January, 2020",Bayview Village,61,149.2723577
Entire Home,"January, 2020",Bayview Woods-Steeles,25,163.8823529
Entire Home,"January, 2020",Bedford Park-Nortown,28,195.8043478
Entire Home,"January, 2020",Beechborough-Greenbrook,4,225.5842697
Entire Home,"January, 2020",Bendale,38,160.180791
Entire Home,"January, 2020",Birchcliffe-Cliffside,66,
Entire Home,"January, 2020",Black Creek,2,160.180791
Entire Home,"January, 2020",Blake-Jones,55,
Entire Home,"January, 2020",Briar Hill-Belgravia,21,
Entire Home,"January, 2020",Bridle Path-Sunnybrook-York Mills,8,
Entire Home,"January, 2020",Broadview North,42,
Entire Home,"January, 2020",Brookhaven-Amesbury,13,225.5842697
Entire Home,"January, 2020",Cabbagetown-South St.James Town,163,
Entire Home,"January, 2020",Caledonia-Fairbank,20,130.2189349
Entire Home,"January, 2020",Casa Loma,59,180.0455581
Entire Home,"January, 2020",Centennial Scarborough,10,180.0455581
Entire Home,"January, 2020",Church-Yonge Corridor,531,
Entire Home,"January, 2020",Clairlea-Birchmount,36,180.0455581
Entire Home,"January, 2020",Clanton Park,54,182.2790698
Entire Home,"January, 2020",Cliffcrest,28,196.1032999
Entire Home,"January, 2020",Corso Italia-Davenport,76,151.1866667
Entire Home,"January, 2020",Danforth,71,227.5577608
Entire Home,"January, 2020",Danforth East York,55,149.2723577
Entire Home,"January, 2020",Don Valley Village,29,146.1636364
Entire Home,"January, 2020",Dorset Park,22,
Entire Home,"January, 2020",Dovercourt-Wallace Emerson-Junction,396,180.0455581
Entire Home,"January, 2020",Downsview-Roding-CFB,26,165.8576923
Entire Home,"January, 2020",Dufferin Grove,169,180.3961219
Entire Home,"January, 2020",East End-Danforth,93,227.5577608
Entire Home,"January, 2020",Edenbridge-Humber Valley,12,
Entire Home,"January, 2020",Eglinton East,13,179.8148148
Entire Home,"January, 2020",Elms-Old Rexdale,5,227.5577608
Entire Home,"January, 2020",Englemount-Lawrence,29,
Entire Home,"January, 2020",Eringate-Centennial-West Deane,30,108.6666667
Entire Home,"January, 2020",Etobicoke West Mall,25,182.6619718
Entire Home,"January, 2020",Flemingdon Park,11,180.0063291
Entire Home,"January, 2020",Forest Hill North,15,160.180791
Entire Home,"January, 2020",Forest Hill South,26,149.2723577
Entire Home,"January, 2020",Glenfield-Jane Heights,7,137.0106383
Entire Home,"January, 2020",Greenwood-Coxwell,117,163.8823529
Entire Home,"January, 2020",Guildwood,7,
Entire Home,"January, 2020",Henry Farm,34,180.3961219
Entire Home,"January, 2020",High Park North,150,180.0455581
Entire Home,"January, 2020",High Park-Swansea,162,227.5577608
Entire Home,"January, 2020",Highland Creek,11,157.254717
Entire Home,"January, 2020",Hillcrest Village,28,
Entire Home,"January, 2020",Humber Heights-Westmount,15,133.5503876
Entire Home,"January, 2020",Humber Summit,5,180.0455581
Entire Home,"January, 2020",Humbermede,8,
Entire Home,"January, 2020",Humewood-Cedarvale,71,128.4166667
Entire Home,"January, 2020",Ionview,11,196.1032999
Entire Home,"January, 2020",Islington-City Centre West,102,182.2790698
Entire Home,"January, 2020",Junction Area,94,196.1032999
Entire Home,"January, 2020",Keelesdale-Eglinton West,27,
Entire Home,"January, 2020",Kennedy Park,18,
Entire Home,"January, 2020",Kensington-Chinatown,282,
Entire Home,"January, 2020",Kingsview Village-The Westway,18,
Entire Home,"January, 2020",Kingsway South,15,180.0455581
Entire Home,"January, 2020",L'Amoreaux,17,162.7608696
Entire Home,"January, 2020",Lambton Baby Point,27,
Entire Home,"January, 2020",Lansing-Westgate,71,
Entire Home,"January, 2020",Lawrence Park North,37,206.5423729
Entire Home,"January, 2020",Lawrence Park South,37,227.5577608
Entire Home,"January, 2020",Leaside-Bennington,34,
Entire Home,"January, 2020",Little Portugal,361,165.8576923
Entire Home,"January, 2020",Long Branch,34,
Entire Home,"January, 2020",Malvern,21,
Entire Home,"January, 2020",Maple Leaf,13,133.5503876
Entire Home,"January, 2020",Markland Wood,5,180.0455581
Entire Home,"January, 2020",Milliken,11,
Entire Home,"January, 2020",Mimico (includes Humber Bay Shores),223,
Entire Home,"January, 2020",Morningside,12,227.5577608
Entire Home,"January, 2020",Moss Park,380,
Entire Home,"January, 2020",Mount Dennis,17,
Entire Home,"January, 2020",Mount Olive-Silverstone-Jamestown,8,
Entire Home,"January, 2020",Mount Pleasant East,53,
Entire Home,"January, 2020",Mount Pleasant West,195,227.5577608
Entire Home,"January, 2020",New Toronto,39,151.1866667
Entire Home,"January, 2020",Newtonbrook East,52,182.2790698
Entire Home,"January, 2020",Newtonbrook West,113,165.8576923
Entire Home,"January, 2020",Niagara,878,149.2723577
Entire Home,"January, 2020",North Riverdale,106,
Entire Home,"January, 2020",North St.James Town,129,180.0063291
Entire Home,"January, 2020",O'Connor-Parkview,39,227.5577608
Entire Home,"January, 2020",Oakridge,34,225.5842697
Entire Home,"January, 2020",Oakwood Village,98,128.8450704
Entire Home,"January, 2020",Old East York,35,227.5577608
Entire Home,"January, 2020",Palmerston-Little Italy,260,203.3687943
Entire Home,"January, 2020",Parkwoods-Donalda,42,
Entire Home,"January, 2020",Pelmo Park-Humberlea,14,128.4166667
Entire Home,"January, 2020",Playter Estates-Danforth,50,
Entire Home,"January, 2020",Pleasant View,21,165.8576923
Entire Home,"January, 2020",Princess-Rosethorn,15,162.7608696
Entire Home,"January, 2020",Regent Park,72,
Entire Home,"January, 2020",Rexdale-Kipling,20,
Entire Home,"January, 2020",Rockcliffe-Smythe,40,187.6849817
Entire Home,"January, 2020",Roncesvalles,184,159.7774086
Entire Home,"January, 2020",Rosedale-Moore Park,89,227.5577608
Entire Home,"January, 2020",Rouge,23,159.7774086
Entire Home,"January, 2020",Runnymede-Bloor West Village,44,227.5577608
Entire Home,"January, 2020",Rustic,2,
Entire Home,"January, 2020",Scarborough Village,4,130.2189349
Entire Home,"January, 2020",South Parkdale,246,138.0430108
Entire Home,"January, 2020",South Riverdale,301,190.6184211
Entire Home,"January, 2020",St.Andrew-Windfields,15,
Entire Home,"January, 2020",Steeles,12,149.2723577
Entire Home,"January, 2020",Stonegate-Queensway,67,
Entire Home,"January, 2020",Tam O'Shanter-Sullivan,27,182.6619718
Entire Home,"January, 2020",Taylor-Massey,20,
Entire Home,"January, 2020",The Beaches,158,
Entire Home,"January, 2020",Thistletown-Beaumond Heights,13,160.180791
Entire Home,"January, 2020",Thorncliffe Park,15,
Entire Home,"January, 2020",Trinity-Bellwoods,357,227.5577608
Entire Home,"January, 2020",University,81,227.5577608
Entire Home,"January, 2020",Victoria Village,9,124.255102
Entire Home,"January, 2020",Waterfront Communities-The Island,3930,
Entire Home,"January, 2020",West Hill,13,128.4166667
Entire Home,"January, 2020",West Humber-Clairville,24,125.0238095
Entire Home,"January, 2020",Westminster-Branson,17,
Entire Home,"January, 2020",Weston,25,180.3961219
Entire Home,"January, 2020",Weston-Pellam Park,38,128.4166667
Entire Home,"January, 2020",Wexford/Maryvale,46,137.0106383
Entire Home,"January, 2020",Willowdale East,301,180.6134454
Entire Home,"January, 2020",Willowdale West,77,125.0238095
Entire Home,"January, 2020",Willowridge-Martingrove-Richview,27,128.4166667
Entire Home,"January, 2020",Woburn,33,159.7774086
Entire Home,"January, 2020",Woodbine Corridor,71,162.7608696
Entire Home,"January, 2020",Woodbine-Lumsden,34,
Entire Home,"January, 2020",Wychwood,79,
Entire Home,"January, 2020",Yonge-Eglinton,83,
Entire Home,"January, 2020",Yonge-St.Clair,59,227.5577608
Entire Home,"January, 2020",York University Heights,24,
Entire Home,"January, 2020",Yorkdale-Glen Park,94,
Hotel Room,"February, 2020",Annex,11,
Hotel Room,"February, 2020",Church-Yonge Corridor,2,
Hotel Room,"February, 2020",Dovercourt-Wallace Emerson-Junction,1,
Hotel Room,"February, 2020",Kensington-Chinatown,1,
Hotel Room,"February, 2020",Moss Park,9,
Hotel Room,"February, 2020",Niagara,1,
Hotel Room,"February, 2020",South Parkdale,14,
Hotel Room,"February, 2020",Trinity-Bellwoods,2,
Hotel Room,"February, 2020",University,12,
Hotel Room,"February, 2020",Waterfront Communities-The Island,13,
Hotel Room,"February, 2020",Willowdale East,3,
Private Room,"February, 2020",Agincourt North,40,
Private Room,"February, 2020",Agincourt South-Malvern West,70,205.7714988
Private Room,"February, 2020",Alderwood,15,76.62962963
Private Room,"February, 2020",Annex,162,54.37209302
Private Room,"February, 2020",Banbury-Don Mills,32,
Private Room,"February, 2020",Bathurst Manor,60,
Private Room,"February, 2020",Bay Street Corridor,141,
Private Room,"February, 2020",Bayview Village,53,
Private Room,"February, 2020",Bayview Woods-Steeles,55,
Private Room,"February, 2020",Bedford Park-Nortown,6,
Private Room,"February, 2020",Beechborough-Greenbrook,6,
Private Room,"February, 2020",Bendale,22,
Private Room,"February, 2020",Birchcliffe-Cliffside,42,87
Private Room,"February, 2020",Black Creek,14,
Private Room,"February, 2020",Blake-Jones,25,98.41025641
Private Room,"February, 2020",Briar Hill-Belgravia,43,98.41025641
Private Room,"February, 2020",Bridle Path-Sunnybrook-York Mills,11,98.41025641
Private Room,"February, 2020",Broadview North,15,98.41025641
Private Room,"February, 2020",Brookhaven-Amesbury,22,67.68874172
Private Room,"February, 2020",Cabbagetown-South St.James Town,151,
Private Room,"February, 2020",Caledonia-Fairbank,23,
Private Room,"February, 2020",Casa Loma,26,
Private Room,"February, 2020",Centennial Scarborough,10,
Private Room,"February, 2020",Church-Yonge Corridor,180,
Private Room,"February, 2020",Clairlea-Birchmount,61,54.37209302
Private Room,"February, 2020",Clanton Park,24,
Private Room,"February, 2020",Cliffcrest,20,
Private Room,"February, 2020",Corso Italia-Davenport,68,
Private Room,"February, 2020",Danforth,47,
Private Room,"February, 2020",Danforth East York,33,
Private Room,"February, 2020",Don Valley Village,84,
Private Room,"February, 2020",Dorset Park,38,
Private Room,"February, 2020",Dovercourt-Wallace Emerson-Junction,233,88.05128205
Private Room,"February, 2020",Downsview-Roding-CFB,64,
Private Room,"February, 2020",Dufferin Grove,51,
Private Room,"February, 2020",East End-Danforth,59,
Private Room,"February, 2020",Edenbridge-Humber Valley,15,
Private Room,"February, 2020",Eglinton East,29,205.7714988
Private Room,"February, 2020",Elms-Old Rexdale,9,
Private Room,"February, 2020",Englemount-Lawrence,19,221.7733711
Private Room,"February, 2020",Eringate-Centennial-West Deane,26,
Private Room,"February, 2020",Etobicoke West Mall,19,52.453125
Private Room,"February, 2020",Flemingdon Park,22,
Private Room,"February, 2020",Forest Hill North,21,
Private Room,"February, 2020",Forest Hill South,9,
Private Room,"February, 2020",Glenfield-Jane Heights,34,
Private Room,"February, 2020",Greenwood-Coxwell,55,
Private Room,"February, 2020",Guildwood,17,
Private Room,"February, 2020",Henry Farm,31,
Private Room,"February, 2020",High Park North,46,65.10526316
Private Room,"February, 2020",High Park-Swansea,54,
Private Room,"February, 2020",Highland Creek,27,
Private Room,"February, 2020",Hillcrest Village,60,
Private Room,"February, 2020",Humber Heights-Westmount,8,161.9555556
Private Room,"February, 2020",Humber Summit,9,
Private Room,"February, 2020",Humbermede,19,
Private Room,"February, 2020",Humewood-Cedarvale,35,97.5248227
Private Room,"February, 2020",Ionview,26,
Private Room,"February, 2020",Islington-City Centre West,105,
Private Room,"February, 2020",Junction Area,52,
Private Room,"February, 2020",Keelesdale-Eglinton West,27,89.62893082
Private Room,"February, 2020",Kennedy Park,18,89.62893082
Private Room,"February, 2020",Kensington-Chinatown,353,89.62893082
Private Room,"February, 2020",Kingsview Village-The Westway,10,
Private Room,"February, 2020",Kingsway South,5,
Private Room,"February, 2020",L'Amoreaux,71,61.4
Private Room,"February, 2020",Lambton Baby Point,17,89.62893082
Private Room,"February, 2020",Lansing-Westgate,61,
Private Room,"February, 2020",Lawrence Park North,20,161.9555556
Private Room,"February, 2020",Lawrence Park South,21,
Private Room,"February, 2020",Leaside-Bennington,19,89.62893082
Private Room,"February, 2020",Little Portugal,143,221.7733711
Private Room,"February, 2020",Long Branch,25,
Private Room,"February, 2020",Malvern,70,
Private Room,"February, 2020",Maple Leaf,10,60.70588235
Private Room,"February, 2020",Markland Wood,3,
Private Room,"February, 2020",Milliken,65,
Private Room,"February, 2020",Mimico (includes Humber Bay Shores),85,60.70588235
Private Room,"February, 2020",Morningside,37,62.28
Private Room,"February, 2020",Moss Park,159,60.70588235
Private Room,"February, 2020",Mount Dennis,26,
Private Room,"February, 2020",Mount Olive-Silverstone-Jamestown,19,
Private Room,"February, 2020",Mount Pleasant East,32,
Private Room,"February, 2020",Mount Pleasant West,80,
Private Room,"February, 2020",New Toronto,25,
Private Room,"February, 2020",Newtonbrook East,156,
Private Room,"February, 2020",Newtonbrook West,97,66.33105802
Private Room,"February, 2020",Niagara,156,
Private Room,"February, 2020",North Riverdale,16,
Private Room,"February, 2020",North St.James Town,83,
Private Room,"February, 2020",O'Connor-Parkview,23,
Private Room,"February, 2020",Oakridge,35,
Private Room,"February, 2020",Oakwood Village,69,
Private Room,"February, 2020",Old East York,30,70.18072289
Private Room,"February, 2020",Palmerston-Little Italy,151,
Private Room,"February, 2020",Parkwoods-Donalda,73,90.31578947
Private Room,"February, 2020",Pelmo Park-Humberlea,30,
Private Room,"February, 2020",Playter Estates-Danforth,18,
Private Room,"February, 2020",Pleasant View,80,
Private Room,"February, 2020",Princess-Rosethorn,16,87
Private Room,"February, 2020",Regent Park,38,63.72727273
Private Room,"February, 2020",Rexdale-Kipling,34,
Private Room,"February, 2020",Rockcliffe-Smythe,25,
Private Room,"February, 2020",Roncesvalles,70,
Private Room,"February, 2020",Rosedale-Moore Park,35,
Private Room,"February, 2020",Rouge,29,
Private Room,"February, 2020",Runnymede-Bloor West Village,28,76.62962963
Private Room,"February, 2020",Rustic,18,
Private Room,"February, 2020",Scarborough Village,16,
Private Room,"February, 2020",South Parkdale,96,
Private Room,"February, 2020",South Riverdale,124,
Private Room,"February, 2020",St.Andrew-Windfields,33,221.7733711
Private Room,"February, 2020",Steeles,73,
Private Room,"February, 2020",Stonegate-Queensway,38,161.9555556
Private Room,"February, 2020",Tam O'Shanter-Sullivan,77,
Private Room,"February, 2020",Taylor-Massey,28,59
Private Room,"February, 2020",The Beaches,43,
Private Room,"February, 2020",Thistletown-Beaumond Heights,7,
Private Room,"February, 2020",Thorncliffe Park,17,57.09090909
Private Room,"February, 2020",Trinity-Bellwoods,180,
Private Room,"February, 2020",University,121,
Private Room,"February, 2020",Victoria Village,31,
Private Room,"February, 2020",Waterfront Communities-The Island,407,63.36734694
Private Room,"February, 2020",West Hill,37,
Private Room,"February, 2020",West Humber-Clairville,56,
Private Room,"February, 2020",Westminster-Branson,42,89.62893082
Private Room,"February, 2020",Weston,35,
Private Room,"February, 2020",Weston-Pellam Park,43,
Private Room,"February, 2020",Wexford/Maryvale,73,
Private Room,"February, 2020",Willowdale East,293,
Private Room,"February, 2020",Willowdale West,83,
Private Room,"February, 2020",Willowridge-Martingrove-Richview,42,
Private Room,"February, 2020",Woburn,28,
Private Room,"February, 2020",Woodbine Corridor,43,
Private Room,"February, 2020",Woodbine-Lumsden,26,
Private Room,"February, 2020",Wychwood,49,77.12222222
Private Room,"February, 2020",Yonge-Eglinton,39,77.12222222
Private Room,"February, 2020",Yonge-St.Clair,25,
Private Room,"February, 2020",York University Heights,197,89.62893082
Private Room,"February, 2020",Yorkdale-Glen Park,47,89.62893082
