id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price_x,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price_y,price_x2,price_y3,price_x4,price_y5,price_x6,price_y7,price_x8,price_y9,price_x10,price_y11,price_x12,price_y13,price_x14,price_y15
32759853,"2 Bedroom Minutes from Dundas Square, Ryerson University",4356799,T.,,Moss Park,43.65723,-79.37328,Entire home/apt,99,1,22,2019-10-23,2.16,15,115,99,99,99,98,99,99,124,124,124,124,124,116,116,116,124
32761492,DESIGNER CURATED 2BDRM 1BATH+PRKG DWTN/FIN DISTRIC,212832355,Alan Owner Of Luxury Residences,,Bay Street Corridor,43.64781,-79.3846,Entire home/apt,214,28,6,2019-08-05,0.65,5,192,213,214,214,214,214,214,119,169,169,169,285,250,206,240,240
32761584,1 bedroom in a shared cozy 2 bedroom Townhouse,5675204,Julie,,Kensington-Chinatown,43.64837,-79.40296,Private room,90,2,0,,,2,0,90,90,90,90,90,90,65,65,65,65,65,65,65,65,65
7937282,Post House Boutique Condominium,17225676,Vincent,,Moss Park,43.65308,-79.3719,Entire home/apt,128,1,0,,,1,0,131,137,139,139,133,134,131,130,130,132,126,126,126,125,124
7958150,Nice clean Main floor Apartment for long term,41971275,Mohammad,,Bendale,43.74862,-79.24338,Entire home/apt,100,180,0,,,2,365,99,99,101,100,100,101,100,100,100,100,100,100,100,100,100
32774470,"Entire home with backyard, 4 bdrm, sleeps 10",52448564,Michael,,Greenwood-Coxwell,43.67654,-79.32635,Entire home/apt,195,2,15,2019-12-01,3.91,1,0,195,195,195,194,195,195,125,125,125,125,125,125,125,125,125
7972916,Simple and Modern,35030912,Alex,,Church-Yonge Corridor,43.65942,-79.37867,Private room,70,1,0,,,1,0,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
32776818,SimplyComfort. Classic Apartment in Downtown,10202618,Simply Comfort,,Waterfront Communities-The Island,43.64187,-79.38096,Entire home/apt,699,1,9,2019-12-15,0.89,127,326,699,699,700,98,99,99,160,148,146,129,131,171,134,142,173
32779183,*Cozy Basement Apt near UofT and Kensington Market,210374288,450,,Kensington-Chinatown,43.65582,-79.40708,Entire home/apt,77,1,38,2020-01-01,3.85,2,142,76,76,83,83,95,86,93,98,93,93,93,97,97,97,78
32779613,Cabbagetown Corner House at Riverdale Park West.,9815163,Nico,,Cabbagetown-South St.James Town,43.66432,-79.36037,Entire home/apt,208,3,30,2019-08-31,3.1,1,90,379,378,380,380,379,379,300,300,300,300,350,250,250,350,350
7989407,Well decorated Home for Longterm,41971275,Mohammad,,Bendale,43.74893,-79.24504,Entire home/apt,80,180,0,,,2,358,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
32786051,Luxurious Condo DT Amazing Lake Views sleeps 10+4,246616094,Mark,,Waterfront Communities-The Island,43.64143,-79.39684,Entire home/apt,499,1,22,2019-10-06,2.34,3,257,498,498,499,499,498,499,823,718,651,589,595,598,562,562,655
32787197,"Toronto; Avoid snow walk; Beside Subway, Cozy room",112337140,Md. Umar KBin,,Don Valley Village,43.77865,-79.34904,Private room,54,2,8,2019-12-18,1.62,1,82,50,50,50,51,50,50,50,50,50,50,54,59,80,80,65
32787428,Modern 1 Bedroom Suite ✔Parking ✔Laundry ✔Private,56118558,Sean,,Lansing-Westgate,43.74131,-79.43001,Entire home/apt,86,3,9,2019-10-06,1.03,12,160,85,86,85,84,84,86,86,85,81,85,71,74,85,85,85
8004365,"Humber College 北校区附近,新装修独立卫生间的镇屋大房间",40343675,Lily,,West Humber-Clairville,43.73441,-79.59395,Private room,25,250,0,,,2,365,25,25,25,25,25,24,25,25,25,25,25,25,25,25,25
8072283,Quiet 1 bdrm in Forest Hill,42640196,Jennifer,,Yonge-St.Clair,43.6973,-79.40464,Entire home/apt,100,2,0,,,1,0,99,99,99,100,100,100,107,107,107,107,107,100,100,100,100
8089671,Toronto Annex Studio Convenient,42720246,Daniel,,Annex,43.66616,-79.40666,Entire home/apt,99,3,0,,,1,0,99,99,99,98,99,99,99,99,99,99,99,99,99,99,99
8145158,NEW LAKE FRONT CONDO WITH AMENITIES,43005663,Sheheryar,,Mimico (includes Humber Bay Shores),43.62329,-79.48136,Entire home/apt,119,4,0,,,1,0,121,120,120,119,121,120,120,120,120,120,120,120,120,120,120
32791320,New Private Basement Suite Near Airport,18887905,Marcel,,Rexdale-Kipling,43.72354,-79.56412,Entire home/apt,67,1,11,2019-08-30,1.7,1,0,68,68,67,68,68,68,52,50,48,48,48,48,48,48,48
8145610,Luxury Apartment on Royal York Road,43004447,Ollie,,Edenbridge-Humber Valley,43.66476,-79.51814,Entire home/apt,350,3,0,,,1,88,358,373,377,380,362,367,356,356,354,359,345,344,343,342,339
32810556,"Bright, modern open concept condo + free parking",246821519,Afsi,,Waterfront Communities-The Island,43.64312,-79.38281,Entire home/apt,224,1,81,2020-01-05,7.89,1,144,225,225,226,225,225,225,235,217,223,225,179,210,120,150,150
8168525,Private Room in quiet Corso Italia,7668155,Jensenne,,Caledonia-Fairbank,43.68459,-79.45469,Shared room,75,1,0,,,1,0,76,75,76,75,75,74,75,75,75,75,75,75,75,75,75
32814111,LAVISH | KING BED CN TOWER SUITE DEN+BALCONY,212832355,Alan Owner Of Luxury Residences,,Waterfront Communities-The Island,43.64339,-79.3903,Entire home/apt,259,1,51,2019-12-06,6.12,5,0,260,260,260,260,260,260,208,193,199,200,199,199,190,190,210
8170617,"Trendy spacious condo, King west",43121342,Kristina,,Waterfront Communities-The Island,43.64201,-79.39897,Entire home/apt,375,2,0,,,1,0,375,376,375,375,375,375,375,375,375,375,375,375,375,375,375
32816308,Cozy private space in the West End of Toronto,6311410,Soraya,,Rockcliffe-Smythe,43.67624,-79.48241,Entire home/apt,80,28,7,2019-11-30,0.78,1,65,80,80,80,80,80,80,82,79,83,75,82,82,82,50,75
32816479,Private Studio full furnished Brand New Apartment.,105634499,Mohammed,,Mount Dennis,43.69293,-79.50522,Entire home/apt,80,3,10,2020-01-03,1.06,4,36,80,80,80,80,80,80,93,91,75,75,77,75,75,75,90
8209074,Compact and cozy bachelor apartment,43108722,Sadaf,,Palmerston-Little Italy,43.66068,-79.41129,Entire home/apt,58,1,0,,,1,0,60,59,59,59,59,60,59,59,59,59,59,59,59,59,59
32820457,"Close to Scarborough Mall, Library, Banks",246906243,Mysel,,Eglinton East,43.74078,-79.26241,Private room,13,30,2,2019-08-14,0.24,2,365,13,12,13,13,13,14,53,53,53,53,53,53,53,53,53
8273223,Artists apartment downtown Toronto,5464150,Robin,,Kensington-Chinatown,43.65556,-79.40672,Private room,100,1,0,,,1,0,99,99,99,100,100,100,100,100,100,100,100,100,100,100,100
8292058,Sunny Bedroom in Trinity Bellwoods,4132684,Bonnie,,Trinity-Bellwoods,43.64878,-79.41831,Private room,104,4,0,,,1,0,106,110,112,112,107,109,106,105,105,106,102,102,102,101,100
32830590,"Artistic, spacious 1 bdrm in Toronto's Beaches.",7098173,Pamela,,The Beaches,43.67149,-79.30978,Entire home/apt,90,6,0,,,1,337,90,90,90,90,90,90,110,110,110,110,110,110,110,110,110
32836748,Modern Studio near Yonge/Eglinton Subway,38368481,Rada,,Yonge-Eglinton,43.70862,-79.40164,Entire home/apt,80,7,5,2019-12-09,0.53,1,97,81,81,81,80,81,81,110,110,110,112,112,110,110,110,110
32836943,Cozy 1Br apartment in downtown Toronto,23785357,Moe,,Niagara,43.64455,-79.40312,Entire home/apt,110,7,2,2019-12-24,0.31,1,0,110,110,109,110,110,110,75,75,75,75,75,75,75,75,75
8350059,Amazing Deal for Travelers,44011860,Alex,,Bay Street Corridor,43.66168,-79.38533,Shared room,140,7,0,,,1,0,141,139,140,141,139,139,140,140,140,140,140,140,140,140,140
32842009,Luxurious new home in the Kingsway (West Toronto),16277522,Michael,,Stonegate-Queensway,43.64393,-79.5052,Entire home/apt,275,3,17,2020-01-03,2.25,1,216,274,275,275,276,275,275,322,317,317,336,341,299,331,489,539
32842154,Newly Decorated Trendy Condo - Sleeps 4 - Parking,247068068,Stephanie,,Moss Park,43.6513,-79.36966,Entire home/apt,99,2,57,2019-12-26,5.7,2,99,99,99,99,98,99,99,245,199,199,199,199,108,108,125,129
8390151,Very big 1 Bedroom apt,44208908,Rebecca,,Casa Loma,43.67983,-79.40017,Entire home/apt,95,1,0,,,1,0,95,95,95,96,95,95,95,95,95,95,95,95,95,95,95
32861316,RARE FIND | 2000 SQ-FT SIGNATURE TOWNHOME DOWNTOWN,247217463,Joanne,,Waterfront Communities-The Island,43.64825,-79.38952,Entire home/apt,499,2,8,2019-12-14,0.84,1,139,379,378,380,380,379,379,379,379,379,379,249,379,379,469,469
32863530,cozy room for vocation,247236110,Marian,,Agincourt North,43.80945,-79.28084,Private room,40,1,2,2019-05-28,0.24,2,245,40,40,40,39,40,39,33,30,33,33,35,35,35,35,35
32865945,"Clean , comfortable apartment suite",247254629,Joe,,L'Amoreaux,43.802,-79.33046,Entire home/apt,69,1,91,2020-01-04,9.19,1,353,69,69,68,69,68,69,55,58,58,58,58,58,57,58,58
32868955,"2BDRM + Parking + Sofabed -MTCC, Jays, CN Tower",191559423,Kim,,Waterfront Communities-The Island,43.6439,-79.3796,Entire home/apt,112,1,65,2019-12-19,6.39,15,118,111,112,112,112,113,112,194,179,141,120,111,100,110,120,800
32869068,Incredible location 2bedroom/2full baths downtown,33237911,Aidin,,Waterfront Communities-The Island,43.64486,-79.40106,Entire home/apt,100,1,19,2019-12-27,2.38,3,365,99,99,99,100,100,100,230,250,181,196,216,312,155,152,181
32871942,Huge Fresh Spacious top floor Bright Condo Suite,247308792,Richard,,Forest Hill South,43.70156,-79.41794,Entire home/apt,86,2,0,,,1,1,85,86,85,84,84,86,65,65,65,65,65,65,65,65,65
8400387,South Etobicoke Newly Renovated Apt,44256510,Michelle,,Alderwood,43.59589,-79.54712,Entire home/apt,79,3,0,,,1,0,80,79,78,79,79,79,79,79,79,79,79,79,79,79,79
8419680,Small cozy room in downtown,38685991,Ozgun,,Annex,43.67361,-79.40803,Private room,45,1,0,,,1,0,46,48,49,49,47,47,46,46,46,47,45,45,45,44,44
8435997,Despair in two bedrooms,44417820,Nicole,,O'Connor-Parkview,43.70834,-79.3017,Entire home/apt,51,1,0,,,1,0,50,50,50,51,50,50,50,50,50,50,50,50,50,50,50
8469320,"Downtown,Yonge街边上的舒适小屋",44601429,Yixuan,,Church-Yonge Corridor,43.66449,-79.38346,Private room,60,1,0,,,1,0,60,59,60,60,60,60,60,60,60,60,60,60,60,60,60
